"11-12-2016 18:00	@TopFoodDaily	Top Food	""Centre", #Delhi #Government Quell #Rumours of #Salt: https://t.co/9nuEtR9rem," https://t.co/NeTwV7VSRW https://t.co/Jf0JTdhwrz""	7.98E+17	TopFood	34	5	0	0	No	20-03-2016			View",
"11-12-2016 18:04	@rahulv1	Rahul	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Twitter for iPhone	52	172	1479	0	No	22-07-2011			View",,
"11-12-2016 18:50	@AjeebAdami	Pash	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Twitter for Android	71	163	1479	0	No	25-01-2013	Kashmir to Kanya-Kumari	Confusing. Classic fence sitter Not good at sharing Desperate for female attention Avoids speculation Violent thief definitely not a fitness freak just a freak	View",,
"11-12-2016 18:57	@sandip_mm	sandip moggawar	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Twitter for Android	662	802	1479	0	No	31-12-2014	""पुणे",नांदेड़," भारत.""		View"
"11-12-2016 19:07	@BeingKaranSingh	Karan Singh Ahlawat	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Twitter for Android	153	255	1479	0	No	26-12-2012	""New Delhi"," India""	""Proud Indian"," Being Human & a Proud Salman Khan Fan""	View"
,,,
,,,
